"site_code","date_index","one_week_date","Log10_NoV_norm","Easting","Northing","carehome_density","school_density","BAME","prop_urb","lockdown_lifting","lockdown_step3","lockdown_step4","lockdown_planB","mobility","imd_score","rain_rolling_7day","temp_rolling_7day","nov_3week"
"UKENNE_YW_TP000119",1,"24/05/2021",NA,460189,405981,27.68401004,109.5926609,0.145964938,0.63248618,0,1,0,0,-20.57142686,26.30188061,3.30216142857142e-05,282.1824403,NA
"UKENNE_YW_TP000141",1,"24/05/2021",NA,443369,385781,20.60183198,65.25759826,0.060349222,0.611187226,0,1,0,0,-24.53857897,22.46170091,2.59773285714287e-05,282.2540876,NA
"UKENNW_UU_TP000012",1,"24/05/2021",NA,321942,468543,18.20250303,94.63954148,0.033265353,0.681724888,0,1,0,0,-19.44490775,32.81771507,1.43214285714286e-05,282.6391262,NA
"UKENNW_UU_TP000017",1,"24/05/2021",NA,332919,389491,37.33959771,73.43888537,0.056700133,0.715868092,0,1,0,0,-22.71430112,35.39243476,5.01257142857145e-06,283.201619,NA
"UKENNW_UU_TP000018",1,"24/05/2021",NA,360469,429411,24.62654788,85.4091957,0.516173129,0.669364529,0,1,0,0,-17.89016231,40.01351889,2.2905e-05,282.0731183,NA
"UKENNW_UU_TP000019",1,"24/05/2021",NA,376549,404691,19.04738007,76.53479769,0.310232032,0.79497487,0,1,0,0,-22.2958919,34.30938579,6.27571428571429e-06,282.2542043,NA
"UKENNW_UU_TP000023",1,"24/05/2021",NA,334328,385183,36.02316562,71.36934276,0.043114647,0.6191496,0,1,0,0,-22.7459527,25.73791738,5.90042857142862e-06,283.2284879,NA
"UKENNW_UU_TP000024",1,"24/05/2021",NA,382849,435121,24.393875,86.34353476,0.411373863,0.795578256,0,1,0,0,-10.08306678,42.3989497,8.54542857142846e-06,281.9248982,NA
"UKENNW_UU_TP000026",1,"24/05/2021",NA,380039,407811,25.87845285,85.45169574,0.187366302,0.802016104,0,1,0,0,-19.71695786,29.22926484,4.95192857142849e-06,281.9876447,NA
"UKENNW_UU_TP000027",1,"24/05/2021",NA,338811,556534,19.61881394,80.2270158,0.038613213,0.74619457,0,1,0,0,-27.42609698,25.81034793,3.51888571428572e-05,282.3574896,NA
"UKENNW_UU_TP000038",1,"24/05/2021",3.517387493,366639,357111,17.95668541,81.06099308,0.088122908,0.684839598,0,1,0,0,-25.85281228,22.12152806,1.71071857142858e-05,282.6225115,3.517387493
"UKENNW_UU_TP000047",1,"24/05/2021",NA,342338,374328,17.43770209,90.74865625,0.04004837,0.721995708,0,1,0,0,-24.71140817,22.53356593,6.28928571428562e-06,283.2514829,NA
"UKENNW_UU_TP000050",1,"24/05/2021",4.096038701,333099,446501,44.21240186,65.55280379,0.045076645,0.84362016,0,1,0,0,-15.01906776,39.22362132,2.63251428571428e-05,282.8406303,4.096038701
"UKENNW_UU_TP000067",1,"24/05/2021",NA,393789,394841,14.23876474,73.94177544,0.128396502,0.830965597,0,1,0,0,-28.80466309,32.80202658,1.32030428571429e-05,282.4793125,NA
"UKENNW_UU_TP000068",1,"24/05/2021",NA,375619,433371,49.15226566,91.02114097,0.165876423,0.749117026,0,1,0,0,-15.96730269,38.27120352,1.23014285714286e-05,281.7762002,NA
