"X","site_code","dailyrain","date","X.1","rain_rolling_7day","weekday"
1001,"UKENAN_AW_TP000037",0.000111121,"2022-03-21",NA,0.000452544857142857,"Mon"
1008,"UKENAN_AW_TP000037",9.05e-05,"2022-03-28",NA,0.00129415257142857,"Mon"
1017,"UKENAN_AW_TP000050",0.000342492,"2021-05-03",NA,NA,"Mon"
1024,"UKENAN_AW_TP000050",1.11e-05,"2021-05-10",NA,0.000595526142857143,"Mon"
1031,"UKENAN_AW_TP000050",0.000653567,"2021-05-17",NA,0.000963986142857143,"Mon"
1038,"UKENAN_AW_TP000050",6.08e-07,"2021-05-24",NA,1.04257571428573e-05,"Mon"
1045,"UKENAN_AW_TP000050",0.000771837,"2021-05-31",NA,0.000846114857142857,"Mon"
1052,"UKENAN_AW_TP000050",0.000218311,"2021-06-07",NA,0.00103041185714286,"Mon"
1059,"UKENAN_AW_TP000050",2.85e-07,"2021-06-14",NA,0.000189813714285715,"Mon"
1066,"UKENAN_AW_TP000050",7.13e-07,"2021-06-21",NA,2.7133285714286e-05,"Mon"
1073,"UKENAN_AW_TP000050",4.07e-06,"2021-06-28",NA,2.27471428571431e-05,"Mon"
1080,"UKENAN_AW_TP000050",4.98e-05,"2021-07-05",NA,0.00102968057142857,"Mon"
1087,"UKENAN_AW_TP000050",2.78e-05,"2021-07-12",NA,0.00130302542857143,"Mon"
1094,"UKENAN_AW_TP000050",0.000339846,"2021-07-19",NA,0.00101193428571429,"Mon"
1101,"UKENAN_AW_TP000050",7.97e-05,"2021-07-26",NA,0.00186307871428571,"Mon"
1108,"UKENAN_AW_TP000050",0.00050481,"2021-08-02",NA,0.000803742285714286,"Mon"
1115,"UKENAN_AW_TP000050",0.008252518,"2021-08-09",NA,0.00215378857142857,"Mon"
1122,"UKENAN_AW_TP000050",0.002414763,"2021-08-16",NA,0.00201666442857143,"Mon"
1129,"UKENAN_AW_TP000050",0.001527378,"2021-08-23",NA,0.00168728257142857,"Mon"
1136,"UKENAN_AW_TP000050",2.67e-05,"2021-08-30",NA,0.000202380842857143,"Mon"
1143,"UKENAN_AW_TP000050",0.003609125,"2021-09-06",NA,0.00168482071428571,"Mon"
1150,"UKENAN_AW_TP000050",0.001673151,"2021-09-13",NA,0.000643286285714286,"Mon"
1157,"UKENAN_AW_TP000050",0.000136809,"2021-09-20",NA,0.000100156428571429,"Mon"
1164,"UKENAN_AW_TP000050",0.006630006,"2021-09-27",NA,0.00290024642857143,"Mon"
1171,"UKENAN_AW_TP000050",0.000707162,"2021-10-04",NA,0.001192733,"Mon"
1178,"UKENAN_AW_TP000050",0.000298722,"2021-10-11",NA,0.000609472428571429,"Mon"
1185,"UKENAN_AW_TP000050",1.38e-05,"2021-10-18",NA,0.000336882857142858,"Mon"
1192,"UKENAN_AW_TP000050",0.000248531,"2021-10-25",NA,0.000158152,"Mon"
1199,"UKENAN_AW_TP000050",5.21e-06,"2021-11-01",NA,0.00100191028571429,"Mon"
1206,"UKENAN_AW_TP000050",0.002771979,"2021-11-08",NA,0.00201746485714286,"Mon"
1213,"UKENAN_AW_TP000050",0.000138004,"2021-11-15",NA,0.000959725,"Mon"
1220,"UKENAN_AW_TP000050",0.000289726,"2021-11-22",NA,0.000411685285714286,"Mon"
1227,"UKENAN_AW_TP000050",0.004195595,"2021-11-29",NA,0.00314619271428571,"Mon"
1234,"UKENAN_AW_TP000050",0.00501647,"2021-12-06",NA,0.000870563857142858,"Mon"
1241,"UKENAN_AW_TP000050",1.45e-05,"2021-12-13",NA,1.92857142857146e-05,"Mon"
1248,"UKENAN_AW_TP000050",0.015426995,"2021-12-20",NA,0.00376328914285714,"Mon"
1255,"UKENAN_AW_TP000050",0.001623678,"2021-12-27",NA,0.00166325471428571,"Mon"
1262,"UKENAN_AW_TP000050",5.46e-05,"2022-01-03",NA,0.000480958714285714,"Mon"
1269,"UKENAN_AW_TP000050",2.27e-05,"2022-01-10",NA,0.000235227857142857,"Mon"
1276,"UKENAN_AW_TP000050",6.47e-05,"2022-01-17",NA,5.75680000000002e-05,"Mon"
1283,"UKENAN_AW_TP000050",4.19e-07,"2022-01-24",NA,0.000405718714285715,"Mon"
1290,"UKENAN_AW_TP000050",0.000812844,"2022-01-31",NA,0.00168223214285714,"Mon"
1297,"UKENAN_AW_TP000050",7.36e-05,"2022-02-07",NA,0.00187839328571429,"Mon"
1304,"UKENAN_AW_TP000050",4.54e-05,"2022-02-14",NA,0.000340669571428572,"Mon"
1311,"UKENAN_AW_TP000050",0.00198864,"2022-02-21",NA,0.00361912042857143,"Mon"
1318,"UKENAN_AW_TP000050",5.96e-06,"2022-02-28",NA,0.00129408671428571,"Mon"
