,site_code,dailyrain,date,
232,UKENAN_AW_TP000016,0.00043341,18/12/2021,
233,UKENAN_AW_TP000016,0.00518004,19/12/2021,
234,UKENAN_AW_TP000016,0.020648672,20/12/2021,
235,UKENAN_AW_TP000016,0.002600526,21/12/2021,
236,UKENAN_AW_TP000016,0.002353131,22/12/2021,
237,UKENAN_AW_TP000016,0.001094456,23/12/2021,
238,UKENAN_AW_TP000016,0.000714897,24/12/2021,
239,UKENAN_AW_TP000016,2.94E-05,25/12/2021,
240,UKENAN_AW_TP000016,0.000679422,26/12/2021,
241,UKENAN_AW_TP000016,0.001479006,27/12/2021,
242,UKENAN_AW_TP000016,0.001356843,28/12/2021,
243,UKENAN_AW_TP000016,0.000839621,29/12/2021,
244,UKENAN_AW_TP000016,0.00905767,30/12/2021,
245,UKENAN_AW_TP000016,0.001066511,31/12/2021,
246,UKENAN_AW_TP000016,0.000101996,01/01/2022,
247,UKENAN_AW_TP000016,0.000976747,02/01/2022,
248,UKENAN_AW_TP000016,3.51E-05,03/01/2022,
249,UKENAN_AW_TP000016,6.51E-05,04/01/2022,
250,UKENAN_AW_TP000016,0.00167493,05/01/2022,
251,UKENAN_AW_TP000016,0.000104355,06/01/2022,
252,UKENAN_AW_TP000016,0.00038121,07/01/2022,
253,UKENAN_AW_TP000016,2.86E-05,08/01/2022,
254,UKENAN_AW_TP000016,1.02E-06,09/01/2022,
255,UKENAN_AW_TP000016,1.18E-05,10/01/2022,
256,UKENAN_AW_TP000016,0.000817914,11/01/2022,
257,UKENAN_AW_TP000016,5.89E-05,12/01/2022,
258,UKENAN_AW_TP000016,0.000443543,13/01/2022,
259,UKENAN_AW_TP000016,8.79E-05,14/01/2022,
260,UKENAN_AW_TP000016,3.89E-05,15/01/2022,
261,UKENAN_AW_TP000016,2.81E-05,16/01/2022,
262,UKENAN_AW_TP000016,6.79E-05,17/01/2022,
263,UKENAN_AW_TP000016,1.05E-05,18/01/2022,
264,UKENAN_AW_TP000016,7.74E-07,19/01/2022,
265,UKENAN_AW_TP000016,1.86E-05,20/01/2022,
266,UKENAN_AW_TP000016,2.32E-05,21/01/2022,
267,UKENAN_AW_TP000016,2.79E-05,22/01/2022,
268,UKENAN_AW_TP000016,7.28E-06,23/01/2022,
269,UKENAN_AW_TP000016,6.53E-07,24/01/2022,
270,UKENAN_AW_TP000016,7.20E-05,25/01/2022,
271,UKENAN_AW_TP000016,2.32E-05,26/01/2022,
272,UKENAN_AW_TP000016,0.00133958,27/01/2022,
273,UKENAN_AW_TP000016,0.003819526,28/01/2022,
274,UKENAN_AW_TP000016,0.000315865,29/01/2022,
275,UKENAN_AW_TP000016,6.02E-05,30/01/2022,
276,UKENAN_AW_TP000016,0.000900338,31/01/2022,
277,UKENAN_AW_TP000016,0.00155639,01/02/2022,
278,UKENAN_AW_TP000016,0.006310534,02/02/2022,
279,UKENAN_AW_TP000016,0.000749561,03/02/2022,
280,UKENAN_AW_TP000016,0.000720922,04/02/2022,
281,UKENAN_AW_TP000016,0.007244113,05/02/2022,
282,UKENAN_AW_TP000016,0.000444447,06/02/2022,
283,UKENAN_AW_TP000016,3.14E-05,07/02/2022,
284,UKENAN_AW_TP000016,6.66E-05,08/02/2022,
