site_code,site_name,site_type,water_company_name,catchment_population_ons_mid_2019,grab_compo_ind,Easting,Northing,region
UKENSW_SWS_TP000024,EXMOUTH STW,SEWAGE TREATMENT PLANT,South West Water,42894,Composite,302457,80397,South West
UKENSW_SWS_TP000051,NEWTON ABBOT  TEIGNMOUTH STW,SEWAGE TREATMENT PLANT,South West Water,71430,Composite,288249,72051,South West
UKENSW_SWS_TP000002,BARNSTAPLE STW,SEWAGE TREATMENT PLANT,South West Water,41462,Composite,253327,134309,South West
UKENNW_UU_TP000026,BURY STW,SEWAGE TREATMENT PLANT,United Utilities Water,151769,Composite,380039,407811,North West
UKENMI_ST_TP000100,WALSALL SOUTH STW,SEWAGE TREATMENT PLANT,Severn Trent Water,105890,Grab,402189,301921,West Midlands
UKENNE_YW_TP000063,WAKEFIELD CALDER VALE STW,SEWAGE TREATMENT PLANT,Yorkshire Water,100609,Unspecified,435069,420411,Yorkshire and The Humber
UKENNE_YW_TP000141,SHEFFIELD WOODHOUSE MILL STW,SEWAGE TREATMENT PLANT,Yorkshire Water,120421,Grab,443369,385781,Yorkshire and The Humber
UKENNW_UU_TP000027,CARLISLE STW,SEWAGE TREATMENT PLANT,United Utilities Water,80927,Grab,338811,556534,North West
UKENMI_ST_TP000062,BIRMINGHAM EAST COLESHILL STW,SEWAGE TREATMENT PLANT,Severn Trent Water,222097,Grab,419379,291391,West Midlands
UKENNW_UU_TP000102,PRESTON CLIFTON MARSH STW,SEWAGE TREATMENT PLANT,United Utilities Water,236562,Composite,345709,427931,North West
UKENNW_UU_TP000047,ELLESMERE PORT STW,SEWAGE TREATMENT PLANT,United Utilities Water,65326,Unspecified,342338,374328,North West
UKENNW_UU_TP000084,MACCLESFIELD STW,SEWAGE TREATMENT PLANT,United Utilities Water,68096,Composite,389609,378201,North West
UKENNW_UU_TP000067,HYDE STW,SEWAGE TREATMENT PLANT,United Utilities Water,77438,Grab,393789,394841,North West
UKENNW_UU_TP000103,ROCHDALE STW,SEWAGE TREATMENT PLANT,United Utilities Water,156830,Composite,388287,412525,North West
UKENTH_TWU_TP000033,CAMBERLEY CAMBERLEY SURREY STW,SEWAGE TREATMENT PLANT,Thames Water,112687,Grab,485799,159501,South East
UKENTH_TWU_TP000021,RADLETT STW,SEWAGE TREATMENT PLANT,Thames Water,596582,Grab,513709,201061,East of England
UKENTH_TWU_TP000126,HERTFORD STW,SEWAGE TREATMENT PLANT,Thames Water,365806,Grab,539251,209766,East of England
UKENNW_UU_TP000019,BOLTON STW,SEWAGE TREATMENT PLANT,United Utilities Water,320905,Composite,376549,404691,North West
UKENMI_ST_TP000099,GLOUCESTER NetheridgeSTW,SEWAGE TREATMENT PLANT,Severn Trent Water,168488,Grab,380829,216121,South West
UKENMI_ST_TP000164,NUNEATON STW,SEWAGE TREATMENT PLANT,Severn Trent Water,92249,Grab,433479,295881,West Midlands
UKENMI_ST_TP000060,TELFORD SOUTH STW,SEWAGE TREATMENT PLANT,Severn Trent Water,71212,Grab,370979,301401,West Midlands
UKENMI_ST_TP000182,RUGBY NEWBOLD STW,SEWAGE TREATMENT PLANT,Severn Trent Water,88605,Grab,449419,276351,West Midlands
UKENMI_ST_TP000143,MANSFIELD STW,SEWAGE TREATMENT PLANT,Severn Trent Water,87512,Grab,454829,362421,East Midlands
UKENSO_SW_TP000001,SOUTHAMPTON WEST MILLBROOK STW,SEWAGE TREATMENT PLANT,Southern Water,139496,Grab,438718,112480,South East
UKENNE_YW_TP000029,YORK NABURN STW,SEWAGE TREATMENT PLANT,Yorkshire Water,159083,Grab,460089,447151,Yorkshire and The Humber
UKENTH_TWU_TP000116,NEWBURY STW,SEWAGE TREATMENT PLANT,Thames Water,65539,Grab,449859,166721,South East
UKENMI_ST_TP000018,WOLVERHAMPTON BARNHURST STW,SEWAGE TREATMENT PLANT,Severn Trent Water,129575,Grab,389999,301651,West Midlands
UKENNE_NU_TP000028,HENDON STW,SEWAGE TREATMENT PLANT,Northumbrian Water,187749,Composite,441059,556121,North East
UKENNW_UU_TP000068,HYNDBURN STW,SEWAGE TREATMENT PLANT,United Utilities Water,111339,Composite,375619,433371,North West
UKENSW_SWS_TP000016,BIDEFORDNORTHAM STW,SEWAGE TREATMENT PLANT,South West Water,40865,Composite,242167,127655,South West
UKENNE_NU_TP000048,HOUGHTON LE SPRING STW,SEWAGE TREATMENT PLANT,Northumbrian Water,50303,Composite,432099,550801,North East
UKENNE_NU_TP000039,MARSKE AND REDCAR STW,SEWAGE TREATMENT PLANT,Northumbrian Water,84515,Composite,462098,522827,North East
UKENNW_UU_TP000017,BIRKENHEAD AND WALLASEY STW,SEWAGE TREATMENT PLANT,United Utilities Water,172922,Composite,332919,389491,North West
UKENNW_UU_TP000023,BROMBOROUGH STW,SEWAGE TREATMENT PLANT,United Utilities Water,79166,Composite,334328,385183,North West
UKENNW_UU_TP000115,ST HELENS STW,SEWAGE TREATMENT PLANT,United Utilities Water,127277,Composite,353579,395921,North West
UKENNE_YW_TP000086,HALIFAX STW,SEWAGE TREATMENT PLANT,Yorkshire Water,128518,Grab,409249,422391,Yorkshire and The Humber
UKENNE_YW_TP000054,ROTHERHAM STW,SEWAGE TREATMENT PLANT,Yorkshire Water,106886,Grab,444556,394415,Yorkshire and The Humber
