"","site_code","one_week_date","Log10_NoV_norm"
"2611","UKENSW_WXW_TP000038",2021-10-04,5.141566494
"2612","UKENSW_WXW_TP000038",2021-10-18,5.598605537
"2613","UKENSW_WXW_TP000038",2021-11-01,4.921295785
"2614","UKENSW_WXW_TP000038",2021-11-15,4.713237832
"2615","UKENSW_WXW_TP000038",2021-11-29,5.082333204
"2616","UKENSW_WXW_TP000038",2021-12-13,5.416914881
"2617","UKENSW_WXW_TP000038",2021-12-27,5.480322247
"2618","UKENSW_WXW_TP000038",2022-01-10,4.954406383
"2619","UKENSW_WXW_TP000038",2022-01-24,5.004366759
"2620","UKENSW_WXW_TP000038",2022-02-07,5.002173571
"2621","UKENSW_WXW_TP000038",2022-02-21,5.550707794
"2622","UKENSW_WXW_TP000038",2022-03-07,4.831961656
"2623","UKENSW_WXW_TP000038",2022-03-21,5.571641183
"2624","UKENSW_WXW_TP000086",2021-05-31,4.369170902
"2625","UKENSW_WXW_TP000086",2021-06-14,3.535705079
"2626","UKENSW_WXW_TP000086",2021-06-28,5.150657507
"2627","UKENSW_WXW_TP000086",2021-07-12,5.092156521
"2628","UKENSW_WXW_TP000086",2021-07-26,5.145130185
"2629","UKENSW_WXW_TP000086",2021-08-09,5.454277103
"2630","UKENSW_WXW_TP000086",2021-08-23,4.651739623
"2631","UKENSW_WXW_TP000086",2021-09-06,5.493783
"2632","UKENSW_WXW_TP000086",2021-09-20,5.521939087
"2633","UKENSW_WXW_TP000086",2021-10-04,5.362778051
"2634","UKENSW_WXW_TP000086",2021-10-18,5.224282138
"2635","UKENSW_WXW_TP000086",2021-11-01,5.426166125
"2636","UKENSW_WXW_TP000086",2021-11-15,5.802202832
"2637","UKENSW_WXW_TP000086",2021-11-29,6.119987105
"2638","UKENSW_WXW_TP000086",2021-12-13,5.641325929
"2639","UKENSW_WXW_TP000086",2021-12-27,5.223383667
"2640","UKENSW_WXW_TP000086",2022-01-10,5.612551821
"2641","UKENSW_WXW_TP000086",2022-01-24,4.608219874
"2642","UKENSW_WXW_TP000086",2022-02-07,5.386649776
"2643","UKENSW_WXW_TP000086",2022-02-21,5.440647813
"2644","UKENSW_WXW_TP000086",2022-03-07,5.13651932
"2645","UKENSW_WXW_TP000086",2022-03-21,6.110926983
"2646","UKENSW_WXW_TP000100",2021-05-31,3.725560857
"2647","UKENSW_WXW_TP000100",2021-06-14,4.747183838
"2648","UKENSW_WXW_TP000100",2021-06-28,4.794776326
"2649","UKENSW_WXW_TP000100",2021-07-12,5.206861298
"2650","UKENSW_WXW_TP000100",2021-07-26,5.805198433
"2651","UKENSW_WXW_TP000100",2021-08-09,5.277748391
"2652","UKENSW_WXW_TP000100",2021-08-23,5.839593124
"2653","UKENSW_WXW_TP000100",2021-09-06,5.707239078
"2654","UKENSW_WXW_TP000100",2021-09-20,5.416633997
"2655","UKENSW_WXW_TP000100",2021-10-04,5.033745431
"2656","UKENSW_WXW_TP000100",2021-10-18,5.359488494
"2657","UKENSW_WXW_TP000100",2021-11-01,5.918276429
"2658","UKENSW_WXW_TP000100",2021-11-15,5.395056191
"2659","UKENSW_WXW_TP000100",2021-11-29,5.039879919
"2660","UKENSW_WXW_TP000100",2021-12-13,5.265547757
"2661","UKENSW_WXW_TP000100",2021-12-27,5.59218832
"2662","UKENSW_WXW_TP000100",2022-01-10,5.272980309
"2663","UKENSW_WXW_TP000100",2022-01-24,5.256950415
"2664","UKENSW_WXW_TP000100",2022-02-07,5.169249312
"2665","UKENSW_WXW_TP000100",2022-02-21,5.991223677
"2666","UKENSW_WXW_TP000100",2022-03-07,5.779229707
"2667","UKENSW_WXW_TP000100",2022-03-21,5.227704298
"2668","UKENSW_WXW_TP000101",2021-05-31,4.929792937
"2669","UKENSW_WXW_TP000101",2021-06-14,4.612899367
"2670","UKENSW_WXW_TP000101",2021-06-28,4.941248365
"2671","UKENSW_WXW_TP000101",2021-07-12,5.495414767
"2672","UKENSW_WXW_TP000101",2021-07-26,5.828897656
"2673","UKENSW_WXW_TP000101",2021-08-09,5.832862569
"2674","UKENSW_WXW_TP000101",2021-08-23,5.844773009
"2675","UKENSW_WXW_TP000101",2021-09-06,5.683826217
"2676","UKENSW_WXW_TP000101",2021-09-20,6.005029456
"2677","UKENSW_WXW_TP000101",2021-10-04,5.697148027
"2678","UKENSW_WXW_TP000101",2021-10-18,5.551496877
"2679","UKENSW_WXW_TP000101",2021-11-01,5.948370851
"2680","UKENSW_WXW_TP000101",2021-11-15,5.993823871
"2681","UKENSW_WXW_TP000101",2021-11-29,5.93280799
"2682","UKENSW_WXW_TP000101",2021-12-13,5.142533939
"2683","UKENSW_WXW_TP000101",2021-12-27,4.777570505
"2684","UKENSW_WXW_TP000101",2022-01-10,4.182167205
"2685","UKENSW_WXW_TP000101",2022-01-24,4.547756214
"2686","UKENSW_WXW_TP000101",2022-02-07,5.132743272
"2687","UKENSW_WXW_TP000101",2022-02-21,5.752937494
"2688","UKENSW_WXW_TP000101",2022-03-07,5.159653104
"2689","UKENSW_WXW_TP000101",2022-03-21,5.693217854
"2690","UKENTH_TWU_TP000010",2021-05-24,3.692810809
"2691","UKENTH_TWU_TP000010",2021-06-07,4.525526926
"2692","UKENTH_TWU_TP000010",2021-06-21,3.821737044
"2693","UKENTH_TWU_TP000010",2021-07-05,5.843227089
"2694","UKENTH_TWU_TP000010",2021-07-19,4.688065092
"2695","UKENTH_TWU_TP000010",2021-09-06,4.666089603
"2696","UKENTH_TWU_TP000010",2021-09-20,4.96872585
"2697","UKENTH_TWU_TP000010",2021-10-04,5.079978076
"2698","UKENTH_TWU_TP000010",2021-10-11,5.577176862
"2699","UKENTH_TWU_TP000010",2021-10-25,5.168635653
"2700","UKENTH_TWU_TP000010",2021-11-15,5.129964309
"2701","UKENTH_TWU_TP000010",2021-11-22,5.371034328
"2702","UKENTH_TWU_TP000010",2021-12-13,5.709554293
"2703","UKENTH_TWU_TP000010",2021-12-27,4.665959556
"2704","UKENTH_TWU_TP000010",2022-01-03,5.693909526
"2705","UKENTH_TWU_TP000010",2022-01-17,4.884533771
"2706","UKENTH_TWU_TP000010",2022-02-07,5.90403448
"2707","UKENTH_TWU_TP000010",2022-02-14,5.804706897
"2708","UKENTH_TWU_TP000010",2022-03-07,6.036033196
"2709","UKENTH_TWU_TP000010",2022-03-14,6.241339719
"2710","UKENTH_TWU_TP000013",2021-05-31,4.114532034
"2711","UKENTH_TWU_TP000013",2021-06-14,4.106888982
"2712","UKENTH_TWU_TP000013",2021-06-28,4.883894227
"2713","UKENTH_TWU_TP000013",2021-07-12,4.882352086
"2714","UKENTH_TWU_TP000013",2021-07-26,5.567715746
"2715","UKENTH_TWU_TP000013",2021-08-09,5.268859498
"2716","UKENTH_TWU_TP000013",2021-08-23,5.69956858
"2717","UKENTH_TWU_TP000013",2021-09-06,5.934674752
"2718","UKENTH_TWU_TP000013",2021-09-20,5.659771593
"2719","UKENTH_TWU_TP000013",2021-10-04,5.272365903
"2720","UKENTH_TWU_TP000013",2021-10-18,4.992916636
"2721","UKENTH_TWU_TP000013",2021-11-01,5.077525983
"2722","UKENTH_TWU_TP000013",2021-11-15,5.692449561
"2723","UKENTH_TWU_TP000013",2021-11-29,5.300740321
"2724","UKENTH_TWU_TP000013",2021-12-13,5.087875446
"2725","UKENTH_TWU_TP000013",2022-01-03,5.150162887
"2726","UKENTH_TWU_TP000013",2022-01-10,5.430036509
"2727","UKENTH_TWU_TP000013",2022-01-24,4.910255568
"2728","UKENTH_TWU_TP000013",2022-02-07,3.827658878
"2729","UKENTH_TWU_TP000013",2022-02-21,5.337143545
"2730","UKENTH_TWU_TP000013",2022-03-07,6.026846834
"2731","UKENTH_TWU_TP000013",2022-03-21,5.939952261
"2732","UKENTH_TWU_TP000014",2021-05-31,3.372705821
"2733","UKENTH_TWU_TP000014",2021-06-14,3.919093827
"2734","UKENTH_TWU_TP000014",2021-06-28,3.993905784
"2735","UKENTH_TWU_TP000014",2021-07-12,3.740024228
"2736","UKENTH_TWU_TP000014",2021-07-26,4.004731453
"2737","UKENTH_TWU_TP000014",2021-08-09,3.967141529
"2738","UKENTH_TWU_TP000014",2021-08-23,4.465498942
"2739","UKENTH_TWU_TP000014",2021-09-06,3.975362232
"2740","UKENTH_TWU_TP000014",2021-09-20,4.422067806
"2741","UKENTH_TWU_TP000014",2021-10-04,5.011757266
"2742","UKENTH_TWU_TP000014",2021-10-18,4.318907098
"2743","UKENTH_TWU_TP000014",2021-11-15,4.690651191
"2744","UKENTH_TWU_TP000014",2021-11-29,4.41199186
"2745","UKENTH_TWU_TP000014",2021-12-13,3.690253433
"2746","UKENTH_TWU_TP000014",2021-12-27,3.453162545
"2747","UKENTH_TWU_TP000014",2022-01-10,4.544197123
"2748","UKENTH_TWU_TP000014",2022-01-24,3.323060366
"2749","UKENTH_TWU_TP000014",2022-02-07,4.159152179
"2750","UKENTH_TWU_TP000014",2022-02-21,3.973991899
"2751","UKENTH_TWU_TP000014",2022-03-07,4.250696242
"2752","UKENTH_TWU_TP000014",2022-03-21,4.690615041
"2753","UKENTH_TWU_TP000015",2021-05-31,4.533701796
"2754","UKENTH_TWU_TP000015",2021-06-14,4.920774112
"2755","UKENTH_TWU_TP000015",2021-06-28,5.291188143
"2756","UKENTH_TWU_TP000015",2021-07-12,4.54535395
"2757","UKENTH_TWU_TP000015",2021-07-26,5.207189816
"2758","UKENTH_TWU_TP000015",2021-08-09,5.074133979
"2759","UKENTH_TWU_TP000015",2021-08-23,5.275729652
"2760","UKENTH_TWU_TP000015",2021-09-06,5.063791443
"2761","UKENTH_TWU_TP000015",2021-09-20,4.069552244
"2762","UKENTH_TWU_TP000015",2021-10-04,4.74909116
"2763","UKENTH_TWU_TP000015",2021-10-18,5.427977514
"2764","UKENTH_TWU_TP000015",2021-11-01,5.538265927
"2765","UKENTH_TWU_TP000015",2021-11-15,4.413028395
"2766","UKENTH_TWU_TP000015",2021-11-29,5.514537317
"2767","UKENTH_TWU_TP000015",2021-12-13,4.779730197
"2768","UKENTH_TWU_TP000015",2021-12-27,5.011385329
"2769","UKENTH_TWU_TP000015",2022-01-03,4.27179876
"2770","UKENTH_TWU_TP000015",2022-01-24,4.471137275
"2771","UKENTH_TWU_TP000015",2022-02-07,4.669684964
"2772","UKENTH_TWU_TP000015",2022-02-21,4.682050968
"2773","UKENTH_TWU_TP000015",2022-03-07,5.464174453
"2774","UKENTH_TWU_TP000015",2022-03-21,5.085423721
"2775","UKENTH_TWU_TP000021",2021-05-31,4.072517563
"2776","UKENTH_TWU_TP000021",2021-06-14,3.658742309
"2777","UKENTH_TWU_TP000021",2021-06-28,5.300252869
"2778","UKENTH_TWU_TP000021",2021-07-12,4.131682786
"2779","UKENTH_TWU_TP000021",2021-07-26,3.775208016
"2780","UKENTH_TWU_TP000021",2021-08-09,3.744444775
"2781","UKENTH_TWU_TP000021",2021-08-23,4.795964852
"2782","UKENTH_TWU_TP000021",2021-09-06,4.703574014
"2783","UKENTH_TWU_TP000021",2021-09-20,3.214566771
"2784","UKENTH_TWU_TP000021",2021-10-04,2.87235703
"2785","UKENTH_TWU_TP000021",2021-10-18,3.173387026
"2786","UKENTH_TWU_TP000021",2021-11-01,3.427115977
"2787","UKENTH_TWU_TP000021",2021-11-15,4.021705005
"2788","UKENTH_TWU_TP000021",2021-11-29,3.357064324
"2789","UKENTH_TWU_TP000021",2021-12-13,4.024052914
"2790","UKENTH_TWU_TP000021",2021-12-27,3.817606111
"2791","UKENTH_TWU_TP000021",2022-01-10,3.63851122
"2792","UKENTH_TWU_TP000021",2022-01-24,4.162292522
"2793","UKENTH_TWU_TP000021",2022-02-07,4.062665801
"2794","UKENTH_TWU_TP000021",2022-02-21,4.112327426
"2795","UKENTH_TWU_TP000021",2022-03-07,5.211970551
"2796","UKENTH_TWU_TP000021",2022-03-14,4.562680715
"2797","UKENTH_TWU_TP000033",2021-05-31,3.377917795
"2798","UKENTH_TWU_TP000033",2021-06-14,5.209623851
"2799","UKENTH_TWU_TP000033",2021-06-28,4.744120977
"2800","UKENTH_TWU_TP000033",2021-07-12,4.391652521
"2801","UKENTH_TWU_TP000033",2021-07-26,5.13722822
